time_period_start;time_period_end;time_open;time_close;rate_open;rate_high;rate_low;rate_close
2021-07-11T00:00:00.0000000Z;2021-07-12T00:00:00.0000000Z;2021-07-11T00:01:00.0000000Z;2021-07-11T23:59:00.0000000Z;7.683741096099867E-06;7.9783545692335E-06;7.56794080409594E-06;7.851489237690924E-06
2021-07-12T00:00:00.0000000Z;2021-07-13T00:00:00.0000000Z;2021-07-12T00:01:00.0000000Z;2021-07-12T23:59:00.0000000Z;7.863668682489465E-06;7.989657465765022E-06;7.325017460854243E-06;7.5709855721515645E-06
2021-07-13T00:00:00.0000000Z;2021-07-14T00:00:00.0000000Z;2021-07-13T00:01:00.0000000Z;2021-07-13T23:59:00.0000000Z;7.553894033988813E-06;7.594040676908022E-06;7.0501953978728895E-06;7.122656049146852E-06
2021-07-14T00:00:00.0000000Z;2021-07-15T00:00:00.0000000Z;2021-07-14T00:01:00.0000000Z;2021-07-14T23:59:00.0000000Z;7.123732831190895E-06;7.563414618911663E-06;6.723904601641117E-06;7.222590241480709E-06
2021-07-15T00:00:00.0000000Z;2021-07-16T00:00:00.0000000Z;2021-07-15T00:01:00.0000000Z;2021-07-15T23:59:00.0000000Z;7.262062393578998E-06;7.354239676150559E-06;6.789922560296102E-06;6.900702856657144E-06
2021-07-16T00:00:00.0000000Z;2021-07-17T00:00:00.0000000Z;2021-07-16T00:01:00.0000000Z;2021-07-16T23:59:00.0000000Z;6.9190355564478636E-06;6.998428742847483E-06;6.552713093317193E-06;6.634953660677701E-06
2021-07-17T00:00:00.0000000Z;2021-07-18T00:00:00.0000000Z;2021-07-17T00:01:00.0000000Z;2021-07-17T23:59:00.0000000Z;6.630327707476792E-06;7.05353464822182E-06;6.5653359925258336E-06;6.801654644819306E-06
2021-07-18T00:00:00.0000000Z;2021-07-19T00:00:00.0000000Z;2021-07-18T00:01:00.0000000Z;2021-07-18T23:59:00.0000000Z;6.797133809953797E-06;7.0136414518999985E-06;6.612482926418941E-06;6.648197821503962E-06
2021-07-19T00:00:00.0000000Z;2021-07-20T00:00:00.0000000Z;2021-07-19T00:01:00.0000000Z;2021-07-19T23:59:00.0000000Z;6.6391860824318E-06;6.675683980951999E-06;6.0789416521078E-06;6.182783576055563E-06
2021-07-20T00:00:00.0000000Z;2021-07-21T00:00:00.0000000Z;2021-07-20T00:01:00.0000000Z;2021-07-20T23:59:00.0000000Z;6.192116176388021E-06;6.232093221641067E-06;5.7113143160225265E-06;5.890357590791248E-06
2021-07-21T00:00:00.0000000Z;2021-07-22T00:00:00.0000000Z;2021-07-21T00:01:00.0000000Z;2021-07-21T23:59:00.0000000Z;5.882810660607142E-06;6.954475317988119E-06;5.7826988859896816E-06;6.541748342419707E-06
